indic_ed,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 
FA01_1,CP_MPPS,AT	11457.0 	11485.4 	11920.4 	11850.0 	12355.6 	12575.2 	13286.5 	13659.6 	14157.6 	14694.3 	15283.8 	15717.3 
FA01_1,CP_MPPS,BE	: u	15086.1 i	16116.6 d	15963.4 d	16267.0 d	16694.1 d	17565.0 d	18431.6 d	19903.9 d	19593.6 d	21074.5 d	21681.7 d
FA01_1,CP_MPPS,BG	1715.8 	1723.7 	2002.8 	2216.1 	2551.4 	2695.1 	2801.5 	2976.4 	3672.4 	3573.7 	3328.1 	3278.5 
FA01_1,CP_MPPS,CH	10279.8 	10864.9 	12006.7 	12254.3 	12408.3 	12695.7 	13173.9 	13389.9 	14177.3 	14723.8 	15334.1 	16393.3 
FA01_1,CP_MPPS,CY	627.3 i	747.7 i	848.0 d	968.0 d	967.0 d	1070.0 d	1159.9 d	1254.1 d	1455.9 d	1512.5 d	1552.3 d	1573.4 d
FA01_1,CP_MPPS,CZ	5313.1 	5810.2 	6356.4 	6997.1 	7245.4 	7427.7 	8592.8 	8646.8 	8260.3 	8879.7 	8709.1 	9530.3 
FA01_1,CP_MPPS,DE	82385.0 	85140.2 	91205.3 	93556.5 	95202.6 	97985.3 	99419.7 	106532.7 	108625.8 	111524.0 	121365.3 	125557.4 
FA01_1,CP_MPPS,DK	11216.0 d	11402.0 d	11897.1 d	11525.8 	12365.9 	12476.5 d	12696.3 d	13036.8 d	13119.6 d	13960.4 d	15240.4 d	15329.5 d
FA01_1,CP_MPPS,EA18	: u	348574.4 e	361557.1 e	368117.7 e	376664.5 e	388677.2 e	408848.8 e	427904.2 e	443538.5 e	447294.0 e	464885.8 e	467151.5 e
FA01_1,CP_MPPS,EE	710.9 i	657.8 	759.5 	809.0 	825.2 	908.6 	982.9 	1107.2 	1296.3 	1207.2 	1183.9 	1200.3 
